batch_size,sequence_length,model_dimension,precision,is_causal,device,O_diff_l2,O_diff_max,K_grad_diff_l2_rel,K_grad_diff_max,V_grad_diff_l2_rel,V_grad_diff_max,Q_grad_diff_l2_rel,Q_grad_diff_max
1,256,32,torch.bfloat16,True,cuda,0.034062039107084274,0.006293058395385742,0.0020904541015625,0.015625,0.00177001953125,0.03125,0.0027008056640625,0.0078125
1,256,32,torch.bfloat16,False,cuda,0.021057097241282463,0.001853346824645996,0.001953125,0.0078125,0.0010223388671875,0.0078125,0.002777099609375,0.00390625
1,256,32,torch.float16,True,cuda,0.004675653763115406,0.0005438327789306641,0.00026702880859375,0.001953125,2.288818359375e-05,0.000244140625,0.0003464221954345703,0.00048828125
1,256,32,torch.float16,False,cuda,0.0024807152803987265,0.00016450881958007812,0.00023674964904785156,0.0009765625,0.00015342235565185547,0.0009765625,0.00033926963806152344,0.000244140625
1,256,32,torch.float32,True,cuda,0.02129031904041767,0.0022221803665161133,0.0017331232083961368,0.005461454391479492,0.0004087210982106626,0.002610921859741211,0.0016341208247467875,0.002491593360900879
1,256,32,torch.float32,False,cuda,0.014186568558216095,0.0010724663734436035,0.0018093411345034838,0.003517746925354004,0.00043366962927393615,0.0017009973526000977,0.0018494974356144667,0.0018162131309509277
1,256,128,torch.bfloat16,True,cuda,0.07244684547185898,0.0074787139892578125,0.00238037109375,0.015625,0.0010986328125,0.015625,0.002655029296875,0.00390625
1,256,128,torch.bfloat16,False,cuda,0.03979652374982834,0.0014100968837738037,0.00225830078125,0.00390625,0.00106048583984375,0.0078125,0.002685546875,0.001953125
1,256,128,torch.float16,True,cuda,0.009343848563730717,0.0006310939788818359,0.0003046989440917969,0.001953125,7.998943328857422e-05,0.0009765625,0.0003459453582763672,0.0009765625
1,256,128,torch.float16,False,cuda,0.004886804148554802,0.00017499923706054688,0.0002765655517578125,0.0009765625,8.034706115722656e-05,0.00048828125,0.0003223419189453125,0.000244140625
